,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,3月,,Mar,"14,984","7,349","11,284","46,237","34,953","-3,934","9,033","-1,399","-1,099","9,252","4,918","20,171","2,646","-18,103",-380,"-4,633"
,4月,,Apr,"8,813","2,014","8,880","40,745","31,864","-6,866","7,492",-693,-149,"14,558","3,086","-19,973",973,"28,437","2,035","5,895"
,5月,,May,"4,932","-1,832","2,786","35,766","32,980","-4,618","7,661",-897,-290,"14,061","1,291",79,"1,226","9,063","2,403","9,419"
,6月,,Jun,"7,853","4,766","9,211","38,825","29,614","-4,445","4,012",-925,-199,"10,630",-996,"6,591",-42,"4,197",880,"2,976"
,7月,,Jul,"7,150",992,"5,900","37,771","31,871","-4,908","6,914",-755,-278,"11,772","2,686","8,624","-1,190",-599,"2,251","4,899"
,8月,,Aug,"7,215",-398,"5,237","36,076","30,839","-5,636","8,564",-951,-110,"-4,933","2,878","14,014",-612,"-23,686","2,473","-12,037"
,9月,,Sep,"11,751","7,350","12,275","39,295","27,020","-4,925","5,096",-695,-360,"14,415","3,594","45,928","-4,649","-55,836","25,377","3,024"
,10月,,Oct,"6,780","1,348","6,551","38,377","31,825","-5,203","6,217",-785,-149,-294,246,"7,410","-1,239","-16,293","9,581","-6,926"
,11月,,Nov,"9,919","3,846","6,714","36,499","29,785","-2,868","6,726",-653,-193,"12,214","2,941",-945,-67,"8,428","1,857","2,488"
,12月,,Dec,"8,291","4,313","8,155","36,937","28,782","-3,842","4,871",-894,-278,"5,213","3,656","-4,951",-742,"7,297",-47,"-2,800"
平成14年,1月,2002,Jan,"6,245",-824,"3,725","33,334","29,610","-4,549","6,908",161,-292,"20,337","5,022","-2,278","1,080","14,616","1,897","14,384"
,2月,,Feb,"13,721","5,982","9,452","37,886","28,434","-3,470","8,372",-633,-321,"11,988","2,704","57,991","1,062","-52,147","2,378","-1,412"
,3月,,Mar,"21,328","11,010","14,670","44,961","30,291","-3,661","8,793","1,525","-1,317","17,190",-925,"3,587","1,613","12,181",734,"-2,821"
,4月,,Apr,"10,157","4,643","10,320","41,333","31,013","-5,677","5,990",-476,-132,"9,442",455,"-12,560",-165,"20,666","1,047",-583
,5月,,May,"9,714","3,244","7,846","38,922","31,076","-4,602","7,468",-997,-409,"13,995","2,442","3,140",-264,"-4,233","12,909","4,690"
,6月,,Jun,"13,827","9,856","13,755","41,508","27,754","-3,899","4,516",-545,-309,"8,012","2,239",-608,590,"-19,038","24,828","-5,507"
,7月,,Jul,"10,951","4,388","9,216","41,121","31,905","-4,828","7,705","-1,141",-186,"10,239",973,"28,594","-2,392","-24,003","7,067",-527
,8月,,Aug,"10,277","3,950","8,268","37,918","29,651","-4,318","7,146",-819,-116,"6,805","1,487","8,034","-1,135","-3,335","1,755","-3,356"
,9月,,Sep,"11,593","6,693","12,382","41,906","29,523","-5,689","5,528",-628,-720,"7,829",759,"49,356","-1,118","-42,593","1,425","-3,044"
,10月,,Oct,"9,125","4,584","10,984","43,700","32,716","-6,400","5,341",-800,-120,"13,008","1,457","-7,240",-1,"17,585","1,206","4,002"
,11月,,Nov,"11,234","6,697","10,744","43,586","32,842","-4,047","5,294",-757,-158,"7,157","1,504","12,227",-534,"-7,488","1,448","-3,918"
,12月,,Dec,"8,664","4,468","9,848","42,853","33,004","-5,380","5,044",-848,-136,"7,966","6,213","-8,757","-1,367","10,600","1,276",-561
平成15年,1月,2003,Jan,"4,666","-1,739","3,157","36,273","33,116","-4,896","6,999",-594,-138,"11,949","-1,614","5,785",-294,-485,"8,558","7,421"
,2月,,Feb,"14,926","7,730","11,016","40,737","29,721","-3,286","7,982",-786,-244,"12,196","1,094","16,906",-389,"-12,717","7,303","-2,486"
,3月,,Mar,"16,314","9,094","11,706","45,427","33,722","-2,611","8,770","-1,550",-961,"17,828","4,202","51,247",-996,"-49,791","13,166","2,475"
,4月,,Apr,"13,052","6,417","10,210","43,546","33,336","-3,793","7,207",-572,"-1,647","-4,423","1,298","-26,085",-613,"19,643","1,334","-15,828"
,5月,,May,"13,993","6,735","8,356","40,446","32,089","-1,621","7,833",-575,-140,"14,428","1,912","38,625",-730,"-66,868","41,488",575
,6月,,Jun,"11,078","7,695","9,892","41,544","31,652","-2,196","3,907",-525,-273,"3,690","4,114","30,495",162,"-37,900","6,819","-7,116"
,7月,,Jul,"15,049","7,078","9,928","43,452","33,524","-2,850","8,956",-986,-114,"15,672","6,414","-31,232",140,"18,352","21,998",738
,8月,,Aug,"14,492","6,288","9,816","40,494","30,677","-3,528","8,609",-405,-91,"7,649","1,165","-4,878",201,"9,312","1,849","-6,752"
,9月,,Sep,"16,549","9,344","13,173","45,845","32,671","-3,829","7,671",-465,-347,"21,782","2,812","56,680","2,816","-85,292","44,766","5,580"
,10月,,Oct,"13,056","7,324","12,780","46,127","33,347","-5,455","6,262",-531,-110,"19,130","2,411","-40,733","-1,673","31,236","27,889","6,184"
,11月,,Nov,"15,518","8,820","11,658","42,813","31,155","-2,838","7,258",-560,-140,"11,059","2,517","14,917","-2,449","-21,451","17,524","-4,319"
,12月,,Dec,"12,562","8,766","12,940","46,589","33,650","-4,173","4,944","-1,149",-467,"5,900","3,320","3,004","-2,250","-20,766","22,592","-6,195"
平成16年,1月,2004,Jan,"11,535","3,110","6,921","40,388","33,467","-3,810","8,479",-54,-203,"16,514","1,509","-48,637",-159,"-8,684","72,486","5,182"
,2月,,Feb,"22,252","13,170","15,670","45,043","29,374","-2,500","9,434",-352,-761,"15,389","3,503","-19,112",-161,"-5,041","36,200","-6,101"
,3月,,Mar,"19,169","11,305","13,711","51,299","37,588","-2,406","9,893","-2,028","-1,304","10,338",550,"61,619","1,757","-101,411","47,823","-7,528"
,4月,,Apr,"16,532","7,575","12,913","48,369","35,456","-5,338","9,561",-604,-137,"25,108","4,680","-56,563",-798,"75,580","2,209","8,713"
