,Date,Value,Series_Code,Series_Name,Unit,Frequency
114,202307,9274.11416,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
115,202308,-6970.6478,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
116,202309,-53498.7355,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
117,202310,26296.94775,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
118,202311,11167.55015,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
119,202312,-11311.59532,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
120,202401,28106.53086,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
121,202402,6872.03407,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
122,202403,-18920.45575,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
123,202404,33245.79664,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
124,202405,13835.4709008,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
125,202406,-683.44487,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
126,202407,-2963.0080676,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
127,202408,-9098.19132,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
128,202409,-45068.41719,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
129,202410,27766.06418,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
130,202411,-5046.55508,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
131,202412,-5538.62714,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
132,202501,7078.33943,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
133,202502,-25583.28958,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
134,202503,-32307.30128,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
135,202504,37784.05077,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
136,202505,25510.65469,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
137,202506,10968.54724,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
138,202507,23410.18873,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
139,202508,4270.16085,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
