,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計,,,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計
,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total,,,,,,Equity and investment fund shares,,,Long-term debt securities,,,Short-term debt securities,,,Total
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット,,,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,,,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net
（暦年）,,,,,,,,,,,,,,,（暦年）,,,,,,,,,,,,,
(Annual figures),,,,,,,,,,,,,,,(Annual figures),,,,,,,,,,,,,
平成13年,1月,2001,Jan,          --,          --,"-1,331",          --,          --,"4,955",          --,          --,"-2,844",780,,平成13年,1月,2001,Jan,          --,          --,"7,992",          --,          --,"6,932",          --,          --,"-4,624","10,299"
,2月,,Feb,          --,          --,"-1,665",          --,          --,"-6,219",          --,          --,"-3,197","-11,081",,,2月,,Feb,          --,          --,"5,171",          --,          --,"-3,290",          --,          --,"-1,824",56
,3月,,Mar,          --,          --,-838,          --,          --,"16,177",          --,          --,215,"15,554",,,3月,,Mar,          --,          --,"-5,298",          --,          --,"3,026",          --,          --,"-2,345","-4,617"
,4月,,Apr,          --,          --,"2,426",          --,          --,"-1,922",          --,          --,800,"1,304",,,4月,,Apr,          --,          --,"23,045",          --,          --,"2,801",          --,          --,"-4,570","21,276"
,5月,,May,          --,          --,"3,255",          --,          --,"1,778",          --,          --,"1,571","6,604",,,5月,,May,          --,          --,"15,003",          --,          --,"-6,947",          --,          --,"-1,531","6,525"
,6月,,Jun,          --,          --,"1,942",          --,          --,"12,460",          --,          --,"5,426","19,828",,,6月,,Jun,          --,          --,"-4,805",          --,          --,"15,347",          --,          --,"2,695","13,238"
,7月,,Jul,          --,          --,"3,144",          --,          --,"10,473",          --,          --,"1,214","14,831",,,7月,,Jul,          --,          --,"1,107",          --,          --,"5,059",          --,          --,41,"6,207"
,8月,,Aug,          --,          --,"1,246",          --,          --,"15,873",          --,          --,"1,235","18,353",,,8月,,Aug,          --,          --,"2,774",          --,          --,"5,370",          --,          --,"-3,805","4,339"
,9月,,Sep,          --,          --,"-1,494",          --,          --,"19,197",          --,          --,"6,078","23,781",,,9月,,Sep,          --,          --,"-13,098",          --,          --,"-3,401",          --,          --,"-5,648","-22,147"
,10月,,Oct,          --,          --,"5,178",          --,          --,"23,968",          --,          --,"-1,057","28,089",,,10月,,Oct,          --,          --,"12,110",          --,          --,"7,279",          --,          --,"1,291","20,679"
,11月,,Nov,          --,          --,685,          --,          --,"14,855",          --,          --,"-6,135","9,405",,,11月,,Nov,          --,          --,"6,005",          --,          --,"1,621",          --,          --,"2,724","10,350"
,12月,,Dec,          --,          --,"1,474",          --,          --,"6,467",          --,          --,"-4,714","3,227",,,12月,,Dec,          --,          --,"-2,158",          --,          --,737,          --,          --,"9,599","8,178"
平成14年,1月,2002,Jan,          --,          --,"-2,773",          --,          --,"-20,666",          --,          --,"-4,071","-27,511",,平成14年,1月,2002,Jan,          --,          --,"2,142",          --,          --,"-22,628",          --,          --,"-4,747","-25,233"
,2月,,Feb,          --,          --,"7,945",          --,          --,"-13,377",          --,          --,"-3,413","-8,844",,,2月,,Feb,          --,          --,"-36,416",          --,          --,"-23,612",          --,          --,"-6,808","-66,835"
,3月,,Mar,          --,          --,"2,367",          --,          --,"-9,726",          --,          --,"1,295","-6,064",,,3月,,Mar,          --,          --,242,          --,          --,"-4,907",          --,          --,"-4,986","-9,651"
,4月,,Apr,          --,          --,"5,129",          --,          --,"-12,004",          --,          --,"5,413","-1,462",,,4月,,Apr,          --,          --,"18,298",          --,          --,"-4,137",          --,          --,"-3,064","11,098"
,5月,,May,          --,          --,"6,391",          --,          --,"10,991",          --,          --,"1,662","19,044",,,5月,,May,          --,          --,"10,194",          --,          --,"-4,953",          --,          --,"10,663","15,904"
,6月,,Jun,          --,          --,"7,991",          --,          --,"19,400",          --,          --,-15,"27,376",,,6月,,Jun,          --,          --,"3,353",          --,          --,"18,059",          --,          --,"6,572","27,984"
,7月,,Jul,          --,          --,"10,723",          --,          --,"25,542",          --,          --,"-4,428","31,837",,,7月,,Jul,          --,          --,"-4,862",          --,          --,"5,234",          --,          --,"2,871","3,243"
,8月,,Aug,          --,          --,"4,107",          --,          --,"5,474",          --,          --,"-3,276","6,305",,,8月,,Aug,          --,          --,"-10,521",          --,          --,"7,113",          --,          --,"1,679","-1,729"
