財務省　国際収支状況（対外・対内直接投資）,,,,,,,,,,,,,,,
Ⅰ.対外直接投資総括表,,,,,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,,,,,
6d-0-4 月次,,,,,,,,,,,,,,,
   （単位　億円）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,
Ⅰ.Summary of Direct Investment Assets,,,,,,,,,,,,,,,
   Not seasonally adjusted,,,,,,,,,,,,,,,
  (January 1996 - present),,,,,,,,,,,,,,,
6d-0-4 Monthly  figures,,,,,,,,,,,,,,,
  (100 million Yen) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,
,③ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,
,"③ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,
,,,,対外直接投資,,,,,,,,,,,
,,,,Direct Investment Assets,,,,,,,,,,,
,,,,,,,株式資本,,,収益の再投資,,,負債性資本,,
,,,,,,,Equity other than reinvestment of earnings,,,Reinvestment of earnings,,,Debt instruments,,
,,,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
,,,,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net
,7月,,Jul,          --,          --,"3,791",          --,          --,"1,571",          --,          --,"1,621",          --,          --,599
,8月,,Aug,          --,          --,"5,033",          --,          --,"3,078",          --,          --,"1,621",          --,          --,335
,9月,,Sep,          --,          --,"3,749",          --,          --,"2,605",          --,          --,"1,621",          --,          --,-477
,10月,,Oct,          --,          --,"3,299",          --,          --,"1,593",          --,          --,"1,619",          --,          --,87
,11月,,Nov,          --,          --,"5,989",          --,          --,"3,934",          --,          --,"1,620",          --,          --,436
,12月,,Dec,          --,          --,"11,331",          --,          --,"7,780",          --,          --,"1,620",          --,          --,"1,931"
平成20年,1月,2008,Jan,          --,          --,"14,408",          --,          --,"11,810",          --,          --,"1,425",          --,          --,"1,173"
,2月,,Feb,          --,          --,"7,932",          --,          --,"4,135",          --,          --,"1,433",          --,          --,"2,363"
,3月,,Mar,          --,          --,"7,106",          --,          --,"4,022",          --,          --,"1,425",          --,          --,"1,659"
,4月,,Apr,          --,          --,"2,479",          --,          --,"4,332",          --,          --,-190,          --,          --,"-1,663"
,5月,,May,          --,          --,"3,393",          --,          --,"3,147",          --,          --,-190,          --,          --,436
,6月,,Jun,          --,          --,"6,038",          --,          --,"5,247",          --,          --,-191,          --,          --,982
,7月,,Jul,          --,          --,"6,252",          --,          --,"5,676",          --,          --,-218,          --,          --,794
,8月,,Aug,          --,          --,"4,623",          --,          --,"3,198",          --,          --,-220,          --,          --,"1,645"
,9月,,Sep,          --,          --,"6,154",          --,          --,"5,230",          --,          --,-223,          --,          --,"1,147"
,10月,,Oct,          --,          --,"25,018",          --,          --,"23,027",          --,          --,-226,          --,          --,"2,218"
,11月,,Nov,          --,          --,"5,034",          --,          --,"4,554",          --,          --,-244,          --,          --,723
,12月,,Dec,          --,          --,"26,110",          --,          --,"23,399",          --,          --,-247,          --,          --,"2,958"
