,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
平成28年,1月,2016,Jan,"25,084","23,498","1,586",          --,          --,          --,"3,965","3,875",90,"3,965","3,875",90,          --,          --,          --,          --,3,-3,"21,119","19,620","1,499","21,119","18,701","2,418",          --,          --,          --,"1,662",841,821,"15,979","14,489","1,490","3,134","2,983",151,          --,20,-20,344,367,-23,          --,919,-919
,2月,,Feb,"22,997","23,207",-210,          --,          --,          --,"2,783","2,382",401,"2,783","2,382",401,          --,          --,          --,          --,          --,          --,"20,214","20,826",-612,"20,199","20,172",27,          --,          --,          --,"1,522","1,134",388,"13,175","13,254",-79,"5,286","5,515",-228,          --,          --,          --,215,270,-54,15,653,-638
,3月,,Mar,"23,642","26,750","-3,108",          --,          --,          --,"1,860","4,523","-2,663","1,860","4,523","-2,663",          --,          --,          --,          --,12,-12,"21,783","22,215",-433,"21,783","21,223",560,          --,          --,          --,"2,054","2,027",27,"13,332","13,336",-4,"5,311","4,904",407,          --,          --,          --,"1,085",956,129,          --,992,-992
,4月,,Apr,"20,631","22,823","-2,193",          --,          --,          --,127,"2,740","-2,613",127,"2,740","-2,613",          --,0,0,          --,          --,          --,"20,504","20,083",421,"20,502","19,521",981,          --,          --,          --,"1,340","1,300",40,"13,462","12,211","1,251","5,361","5,562",-201,          --,          --,          --,339,449,-110,2,562,-560
,5月,,May,"24,181","22,325","1,856",          --,          --,          --,638,926,-288,638,926,-288,          --,0,0,          --,          --,          --,"23,543","21,399","2,144","23,543","21,010","2,533",          --,          --,          --,"2,088","2,018",69,"15,345","12,746","2,598","5,707","5,808",-101,          --,          --,          --,403,437,-34,          --,389,-389
,6月,,Jun,"25,641","27,890","-2,249",          --,          --,          --,"1,287","3,074","-1,788","1,287","3,074","-1,787",          --,1,-1,          --,          --,          --,"24,355","24,816",-462,"24,355","23,773",582,          --,          --,          --,"1,702","1,531",171,"15,518","15,529",-11,"6,810","6,362",448,          --,5,-5,324,345,-21,          --,"1,044","-1,044"
,7月,,Jul,"16,526","17,188",-662,          --,          --,          --,984,"2,352","-1,368",935,"2,322","-1,388",50,30,20,          --,          --,          --,"15,542","14,836",706,"15,542","14,272","1,270",          --,          --,          --,"1,438",969,469,"7,722","6,595","1,127","5,746","6,007",-262,          --,          --,          --,637,700,-63,          --,564,-564
,8月,,Aug,"13,413","16,455","-3,042",          --,          --,          --,162,"2,092","-1,930",162,"2,091","-1,929",          --,1,-1,          --,          --,          --,"13,251","14,363","-1,112","13,251","13,443",-192,          --,          --,          --,"1,360","1,365",-5,"6,347","6,659",-313,"5,221","5,229",-8,          --,          --,          --,323,190,133,          --,920,-920
,9月,,Sep,"21,354","20,168","1,186",          --,          --,          --,436,69,367,436,67,369,          --,2,-2,          --,          --,          --,"20,918","20,099",819,"20,918","19,230","1,688",          --,          --,          --,"1,052",729,323,"11,619","11,355",264,"5,495","5,664",-169,          --,          --,          --,"2,752","1,481","1,271",          --,869,-869
,10月,,Oct,"15,949","18,102","-2,153",          --,          --,          --,525,"1,222",-696,525,"1,170",-644,          --,52,-52,          --,          --,          --,"15,424","16,880","-1,456","15,424","16,081",-657,          --,          --,          --,"1,645","1,530",115,"9,376","9,220",156,"3,903","3,804",100,          --,          --,          --,500,"1,527","-1,027",          --,800,-800
,11月,,Nov,"11,749","11,720",29,          --,          --,          --,929,254,676,929,248,681,          --,5,-5,          --,          --,          --,"10,820","11,467",-647,"10,820","10,661",159,          --,          --,          --,"1,304","1,237",67,"5,675","4,994",681,"3,219","3,196",24,11,          --,11,611,"1,234",-623,          --,806,-806
,12月,,Dec,"9,788","11,341","-1,553",          --,          --,          --,908,792,116,492,790,-298,416,2,414,          --,1,-1,"8,880","10,548","-1,669","8,880","9,512",-632,          --,          --,          --,795,661,134,"4,275","4,739",-464,"3,236","3,415",-179,3,          --,3,571,697,-126,          --,"1,037","-1,037"
平成29年,1月,2017,Jan,"13,200","13,004",196,          --,          --,          --,237,"1,305","-1,068",237,"1,303","-1,066",          --,2,-2,          --,          --,          --,"12,963","11,699","1,264","12,963","10,458","2,505",          --,          --,          --,"2,626","2,280",347,"5,833","4,005","1,828","4,206","3,843",362,3,          --,3,295,329,-34,          --,"1,242","-1,242"
,2月,,Feb,"17,601","17,898",-297,          --,          --,          --,35,594,-559,35,593,-558,          --,1,-1,          --,11,-11,"17,566","17,293",273,"17,541","16,620",921,          --,          --,          --,920,876,44,"12,360","11,647",713,"3,770","3,690",80,7,          --,7,483,406,77,25,674,-648
,3月,,Mar,"43,953","42,239","1,714",          --,          --,          --,"1,591",876,715,"1,591",853,738,          --,23,-23,          --,2,-2,"42,362","41,361","1,001","42,333","40,674","1,659",          --,          --,          --,"1,552","2,390",-838,"31,689","29,255","2,434","8,320","8,117",202,9,4,4,763,907,-144,29,687,-658
