財務省　国際収支状況,,,,,,,,,,,
Ⅰ.季節調整済　国際収支の推移,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,
6s-a-2 月次,,,,,,,,,,,
   (単位　億円）,,,,,,,,,,,
,,,,,,,,,,,
Japan's Balance of Payments,,,,,,,,,,,
Historical Data,,,,,,,,,,,
Ⅰ.Summary of balance of payments　,,,,,,,,,,,
   Current account (Seasonally-adjusted),,,,,,,,,,,
   (January 1996 - present),,,,,,,,,,,
6s-a-2 Monthly figures,,,,,,,,,,,
   (100 million Yen),,,,,,,,,,,
,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,
,③ 年中の国際収支（第2次速報値）公表の翌月に詳細設定の見直し及び季節調整替えを実施し、1996年１月のデータから遡及改訂を行う。,,,,,,,,,,
,④令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,
,"③ In the following month of the release of annual BOP (second preliminary) data, data are seasonally adjusted and historical revisions are made from January 1996. ",,,,,,,,,,
,"④ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,
,,,,,,,,,,,
,,,,経常収支,,,,,,,
,,,,Current account,,,,,,,
,,,,,貿易・サービス収支,,,,,第一次所得収支,第二次所得収支
,,,,,Goods & services,,,,,Primary income,Secondary income
,,,,,,貿易収支,,,サービス収支,,
,11月,,Nov,"16,972","6,975","9,145","50,803","41,658","-2,170","10,921",-924
,12月,,Dec,"14,352","5,033","7,356","50,525","43,169","-2,323","10,228",-909
平成22年,1月,2010,Jan,"16,863","6,269","8,391","52,012","43,622","-2,121","11,251",-657
,2月,,Feb,"13,515","4,048","6,650","51,209","44,559","-2,603","10,530","-1,063"
,3月,,Mar,"18,082","6,820","9,410","51,502","42,092","-2,589","11,923",-661
,4月,,Apr,"18,007","7,944","10,537","55,040","44,503","-2,592","11,120","-1,057"
,5月,,May,"13,772","4,380","6,810","54,396","47,586","-2,430","10,203",-811
,6月,,Jun,"14,386","3,793","6,240","53,274","47,035","-2,446","11,480",-887
,7月,,Jul,"16,443","6,346","7,887","53,893","46,007","-1,540","11,110","-1,013"
,8月,,Aug,"15,375","5,186","7,197","52,874","45,677","-2,011","11,537","-1,348"
,9月,,Sep,"16,254","5,495","7,481","53,911","46,430","-1,987","11,774","-1,015"
,10月,,Oct,"17,237","5,805","7,773","54,384","46,611","-1,967","12,433","-1,001"
,11月,,Nov,"16,244","5,217","7,643","54,959","47,315","-2,426","11,793",-766
,12月,,Dec,"17,749","6,789","8,489","57,082","48,593","-1,700","11,777",-816
平成23年,1月,2011,Jan,"14,389","3,347","4,742","54,214","49,472","-1,395","11,950",-908
,2月,,Feb,"13,916","3,616","5,691","55,878","50,187","-2,075","12,715","-2,415"
,3月,,Mar,"9,433","-1,925",748,"50,013","49,265","-2,672","11,931",-574
,4月,,Apr,"4,986","-6,948","-4,776","47,736","52,512","-2,172","12,618",-684
,5月,,May,"5,984","-5,904","-3,630","48,985","52,615","-2,274","12,665",-776
,6月,,Jun,"8,954","-2,173",-92,"52,595","52,687","-2,081","12,305","-1,178"
,7月,,Jul,"7,889","-3,361",-944,"53,629","54,573","-2,417","12,193",-943
,8月,,Aug,"7,084","-4,274","-1,590","53,798","55,388","-2,684","12,338",-980
,9月,,Sep,"10,796",13,"2,290","55,087","52,797","-2,277","11,673",-891
,10月,,Oct,"6,654","-5,038","-2,307","53,720","56,026","-2,732","12,264",-572
,11月,,Nov,"5,397","-5,551","-2,984","52,230","55,214","-2,567","12,118","-1,171"
,12月,,Dec,"6,850","-4,666","-2,297","52,282","54,579","-2,369","12,498",-982
平成24年,1月,2012,Jan,"4,450","-6,041","-4,159","49,621","53,780","-1,882","11,640","-1,148"
,2月,,Feb,"7,884","-3,591",-807,"51,828","52,635","-2,784","11,978",-502
,3月,,Mar,"3,932","-5,641","-3,531","53,186","56,717","-2,111","10,490",-916
,4月,,Apr,"5,330","-4,996","-1,377","55,358","56,734","-3,619","11,132",-806
,5月,,May,"3,773","-7,056","-3,300","53,141","56,441","-3,756","11,923","-1,094"
,6月,,Jun,"4,032","-6,406","-3,239","51,749","54,988","-3,167","11,471","-1,033"
,7月,,Jul,"4,508","-5,768","-2,092","51,191","53,282","-3,676","11,262",-986
,8月,,Aug,"5,079","-5,830","-2,461","50,757","53,218","-3,369","11,899",-989
,9月,,Sep,"-1,560","-12,110","-8,109","50,212","58,322","-4,001","11,352",-801
,10月,,Oct,"5,937","-5,583","-2,165","49,917","52,082","-3,417","12,263",-743
,11月,,Nov,"3,923","-6,935","-3,465","49,767","53,232","-3,470","11,752",-894
,12月,,Dec,"2,955","-8,172","-4,812","50,022","54,834","-3,361","12,400","-1,273"
平成25年,1月,2013,Jan,"5,236","-8,338","-5,227","52,014","57,241","-3,111","13,181",392
,2月,,Feb,"1,715","-11,784","-8,821","52,948","61,769","-2,963","14,016",-517
,3月,,Mar,"2,374","-9,811","-6,931","54,414","61,346","-2,880","13,017",-832
,4月,,Apr,"10,365","-7,835","-5,167","56,429","61,597","-2,668","19,056",-856
,5月,,May,"7,022","-6,319","-4,193","58,372","62,565","-2,127","14,360","-1,018"
,6月,,Jun,"5,116","-8,966","-6,305","57,076","63,380","-2,661","15,212","-1,131"
,7月,,Jul,"4,598","-9,831","-7,106","56,744","63,850","-2,726","15,397",-968
,8月,,Aug,"2,330","-9,997","-6,946","58,088","65,034","-3,051","13,097",-770
,9月,,Sep,"3,004","-11,218","-8,339","57,735","66,075","-2,879","15,058",-836
,10月,,Oct,"1,456","-12,585","-9,005","58,217","67,222","-3,580","14,998",-957
,11月,,Nov,-635,"-13,118","-9,987","57,742","67,729","-3,131","13,929","-1,446"
,12月,,Dec,"2,339","-12,366","-9,203","58,246","67,450","-3,162","15,544",-840
平成26年,1月,2014,Jan,"-3,256","-17,733","-14,427","59,524","73,951","-3,305","15,965","-1,489"
,2月,,Feb,985,"-12,752","-9,698","61,103","70,801","-3,054","15,200","-1,463"
,3月,,Mar,"-6,823","-19,400","-16,447","58,644","75,091","-2,953","14,327","-1,750"
,4月,,Apr,"2,450","-11,483","-8,663","59,514","68,178","-2,820","15,725","-1,792"
,5月,,May,"5,596","-7,555","-5,388","60,004","65,392","-2,167","14,986","-1,835"
,6月,,Jun,"3,062","-10,461","-8,168","60,637","68,805","-2,293","15,074","-1,551"
,7月,,Jul,"1,993","-12,430","-8,636","61,220","69,855","-3,794","16,182","-1,759"
,8月,,Aug,"1,396","-12,396","-9,832","59,595","69,426","-2,564","15,592","-1,800"
,9月,,Sep,"5,876","-9,959","-7,525","63,525","71,050","-2,434","17,593","-1,758"
,10月,,Oct,"10,219","-7,290","-7,305","64,172","71,477",15,"19,694","-2,185"
,11月,,Nov,"7,504","-8,088","-6,326","65,200","71,526","-1,762","16,665","-1,074"
,12月,,Dec,"11,979","-5,315","-2,751","67,987","70,737","-2,565","18,582","-1,287"
平成27年,1月,2015,Jan,"12,777","-3,122",-345,"67,846","68,191","-2,777","16,874",-976
,2月,,Feb,"6,956","-7,768","-4,987","61,916","66,903","-2,782","16,592","-1,868"
,3月,,Mar,"17,620","1,947","3,691","64,331","60,640","-1,743","17,358","-1,684"
,4月,,Apr,"13,131","-3,398","-1,524","62,513","64,037","-1,874","18,333","-1,805"
,5月,,May,"15,968","-1,667",-495,"62,334","62,829","-1,172","19,300","-1,665"
,6月,,Jun,"13,572","-3,314","-1,145","63,540","64,684","-2,170","18,497","-1,611"
,7月,,Jul,"15,029","-2,454","-1,116","64,156","65,272","-1,338","19,056","-1,574"
,8月,,Aug,"14,530","-2,627","-2,566","62,887","65,454",-60,"18,625","-1,468"
,9月,,Sep,"9,529","-3,348","-2,364","62,515","64,879",-984,"15,425","-2,548"
,10月,,Oct,"14,482","-1,965",-179,"61,573","61,753","-1,786","18,014","-1,567"
,11月,,Nov,"15,021",-191,885,"61,163","60,278","-1,076","17,124","-1,912"
