,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
,7月,,Jul,"45,130","37,449","7,681",          --,          --,          --,"3,150","2,635",515,"3,070","2,546",524,81,89,-8,2,2,-1,"41,978","34,811","7,166","38,879","31,424","7,455",          --,          --,          --,"11,171","12,106",-935,"3,287","2,602",685,"4,347","3,907",439,27,11,16,"20,047","12,797","7,250","3,099","3,388",-289
,8月,,Aug,"46,503","37,961","8,543",          --,          --,          --,"1,679","2,434",-755,"1,634","2,253",-619,44,180,-136,0,          --,0,"44,825","35,527","9,298","42,235","32,241","9,994",          --,          --,          --,"19,475","14,783","4,693","3,521","2,596",925,"3,449","3,231",218,322,128,193,"15,468","11,502","3,965","2,590","3,286",-696
,9月,,Sep,"51,441","37,550","13,891",          --,          --,          --,"3,200","2,265",935,"3,169","2,181",989,31,85,-54,4,4,0,"48,237","35,281","12,956","44,091","30,521","13,570",          --,          --,          --,"16,968","10,758","6,210","3,670","3,090",580,"3,587","3,397",190,68,90,-22,"19,797","13,187","6,611","4,147","4,760",-614
,10月,,Oct,"48,712","37,848","10,864",          --,          --,          --,"3,801","6,289","-2,489","3,572","6,159","-2,588",229,130,99,2,5,-3,"44,909","31,554","13,355","41,666","27,744","13,921",          --,          --,          --,"14,884","10,071","4,813","3,887","2,812","1,074","4,124","3,611",514,161,63,98,"18,609","11,187","7,422","3,244","3,810",-566
,11月,,Nov,"48,007","45,665","2,342",          --,          --,          --,"2,714","2,915",-200,"2,329","2,689",-360,385,226,160,2,          --,2,"45,290","42,750","2,540","42,305","36,805","5,500",          --,          --,          --,"17,287","12,906","4,381","3,547","3,086",461,"3,112","2,435",677,17,71,-54,"18,341","18,307",34,"2,985","5,945","-2,960"
,12月,,Dec,"50,886","38,576","12,311",          --,          --,          --,"2,951","1,498","1,453","2,285","1,116","1,169",666,381,285,8,0,8,"47,928","37,078","10,850","43,555","32,533","11,022",          --,          --,          --,"13,528","9,276","4,252","3,848","3,190",658,"4,272","4,302",-30,67,40,28,"21,841","15,726","6,115","4,373","4,545",-172
平成27年,1月,2015,Jan,"51,699","31,419","20,280",          --,          --,          --,"2,789","1,637","1,152","2,424","1,338","1,087",365,300,65,2,2,-1,"48,908","29,779","19,129","45,565","26,454","19,111",          --,          --,          --,"15,792","8,649","7,143","3,661","2,708",953,"4,236","3,597",639,303,11,292,"21,573","11,489","10,084","3,343","3,325",18
,2月,,Feb,"54,967","38,597","16,369",          --,          --,          --,"2,742","1,226","1,516","2,490",678,"1,812",252,548,-296,          --,3,-3,"52,225","37,369","14,856","49,373","33,567","15,806",          --,          --,          --,"18,377","11,197","7,179","3,967","3,328",639,"3,177","4,092",-916,136,27,110,"23,716","14,923","8,793","2,852","3,801",-950
,3月,,Mar,"65,809","40,693","25,117",          --,          --,          --,"3,877","2,815","1,062","3,592","2,682",910,285,133,152,3,0,2,"61,930","37,877","24,052","57,878","32,918","24,960",          --,          --,          --,"20,504","11,953","8,551","3,403","2,481",922,"4,756","3,586","1,170",460,7,453,"28,755","14,891","13,864","4,051","4,959",-907
,4月,,Apr,"60,306","42,686","17,620",          --,          --,          --,"5,140","4,268",873,"4,180","3,858",321,961,409,552,16,0,16,"55,149","38,418","16,731","46,653","30,790","15,863",          --,          --,          --,"15,606","10,635","4,971","4,245","3,081","1,165","3,038","3,846",-808,416,179,237,"23,347","13,049","10,298","8,497","7,628",869
