tier,period,specification,variable,horizon,response,lower,upper
monthly,paper,restricted,log_nikkei,3,-0.021016427475178935,-0.032382406921183444,-0.0055483954676495695
monthly,paper,restricted,log_nikkei,6,-0.016834001790640048,-0.02874341848731351,0.0022870263018506124
monthly,paper,restricted,log_nikkei,12,-0.009723214656130486,-0.022447541678882806,0.013144224589107575
monthly,paper,restricted,log_nikkei,24,-0.0023754507568104367,-0.01407919966421977,0.015532050143863503
monthly,paper,restricted,log_nikkei,40,0.00024963508865927936,-0.00896908979134913,0.011146713303654687
monthly,paper,restricted,debtsec_pct,0,-0.09848336039442314,-0.09848336039442314,-0.09848336039442314
monthly,paper,restricted,debtsec_pct,1,-0.1502398539624109,-0.36799444117659263,0.0723704840999135
monthly,paper,restricted,debtsec_pct,3,0.07553342138630226,-0.04659484635249212,0.21899062048292234
monthly,paper,restricted,debtsec_pct,6,0.009285874427805839,-0.042174123897486884,0.06946357967050278
monthly,paper,restricted,debtsec_pct,12,-0.002605659183127943,-0.02640303622758923,0.028885996692368413
monthly,paper,restricted,debtsec_pct,24,-0.002054916824559355,-0.01253269005540654,0.013436948861939193
monthly,paper,restricted,debtsec_pct,40,7.423799953000781e-05,-0.005696416756357147,0.006728912020743856
monthly,paper,restricted,equity_pct,0,-0.1642921390386303,-0.1642921390386303,-0.1642921390386303
monthly,paper,restricted,equity_pct,1,-0.02847835760495651,-0.12169658124420246,0.08767684129720747
monthly,paper,restricted,equity_pct,3,-0.05529075369921074,-0.12264792407581368,0.026820073773996044
monthly,paper,restricted,equity_pct,6,0.01748609115739265,-0.01658943266831079,0.06485755273570525
monthly,paper,restricted,equity_pct,12,0.002115240197273431,-0.012750250581593441,0.02437557351162445
monthly,paper,restricted,equity_pct,24,-0.0015931222850732035,-0.01294129899705809,0.008206906108249536
monthly,paper,restricted,equity_pct,40,-0.0010139266676761774,-0.008213702137377472,0.0056540047165795915
monthly,paper,restricted,other_pct,0,0.1617378598900578,0.1617378598900578,0.1617378598900578
monthly,paper,restricted,other_pct,1,0.011274044120581972,-0.38670538086063877,0.3989637079868937
monthly,paper,restricted,other_pct,3,-0.218608624914243,-0.4641774204781196,0.021875922169149246
monthly,paper,restricted,other_pct,6,-0.03698910493610485,-0.1542534136446177,0.08057609422069116
monthly,paper,restricted,other_pct,12,-0.035921556073739896,-0.0877379948261254,0.018982541036105936
monthly,paper,restricted,other_pct,24,-0.014915714737294665,-0.035389121805427005,0.011379274037933396
monthly,paper,restricted,other_pct,40,-0.005436691180969768,-0.015991284257308138,0.008571922559579873
monthly,paper,restricted,direct_pct,0,0.009627254927921722,0.009627254927921722,0.009627254927921722
monthly,paper,restricted,direct_pct,1,-0.017170225925091993,-0.04916649258111836,0.015367631184543616
monthly,paper,restricted,direct_pct,3,0.043088380146803336,0.0143176704300861,0.06725336454432047
monthly,paper,restricted,direct_pct,6,-0.007390042286448706,-0.02063519396626328,0.0038328781255364064
monthly,paper,restricted,direct_pct,12,-0.0008568427443007755,-0.006995001568910934,0.0043834717336320925
monthly,paper,restricted,direct_pct,24,0.0003294036797289392,-0.002719038324568811,0.004145567905253253
monthly,paper,restricted,direct_pct,40,0.00037605522267829,-0.0015886892653284716,0.0025579656073810198
monthly,paper,unrestricted,risk_off,0,0.11078814726960759,0.10130213400706475,0.12027416053215043
monthly,paper,unrestricted,risk_off,1,0.04571648659425924,0.030267117817556463,0.061165855370962016
monthly,paper,unrestricted,risk_off,3,-0.006287594526422198,-0.01873249018225709,0.006157301129412693
monthly,paper,unrestricted,risk_off,6,-0.0018444067086629994,-0.008216666596982048,0.00452785317965605
monthly,paper,unrestricted,risk_off,12,-3.9055783899896626e-05,-0.0032527289981059376,0.0031746174303061447
monthly,paper,unrestricted,risk_off,24,0.00029476267119919785,-0.0011874123835195107,0.0017769377259179064
monthly,paper,unrestricted,risk_off,40,2.9782105085052856e-05,-0.0006003233955243692,0.0006598876056944749
monthly,paper,unrestricted,log_wui,0,0.008108331510749673,-0.009351104704324304,0.02556776772582365
