experiment,variable,horizon,response
e2b_restricted,log_rgdp,0,-3.6334477969197575e-05
e2b_restricted,log_rgdp,1,-0.001566551118116
e2b_restricted,log_rgdp,3,-0.0042538846959546
e2b_restricted,log_rgdp,6,-0.0037424626573638
e2b_restricted,log_rgdp,12,-0.0030528886487101
e2b_restricted,log_rgdp,24,-0.0022638569948952
e2b_restricted,log_rgdp,40,-0.0016110401334006
e2b_restricted,log_wui,0,0.0072554429170048
e2b_restricted,log_wui,1,0.0120660218023433
e2b_restricted,log_wui,3,0.0334224121915609
e2b_restricted,log_wui,6,0.0479987604917965
e2b_restricted,log_wui,12,-0.0062069359743514
e2b_restricted,log_wui,24,-0.0069266922620422
e2b_restricted,log_wui,40,-0.0080270510383652
e2b_restricted,log_reer,0,0.0053322950809373
e2b_restricted,log_reer,1,0.0104822837252091
e2b_restricted,log_reer,3,0.0124719562753788
e2b_restricted,log_reer,6,0.0104907012960463
e2b_restricted,log_reer,12,0.0055866405775567
e2b_restricted,log_reer,24,0.002395997596184
e2b_restricted,log_reer,40,0.0017556365373913
e2b_restricted,spread,0,0.0237227818609283
e2b_restricted,spread,1,0.0759285417438605
e2b_restricted,spread,3,0.1254968909928052
e2b_restricted,spread,6,0.1216263587086785
e2b_restricted,spread,12,0.0747115634548185
e2b_restricted,spread,24,0.0359932086213986
e2b_restricted,spread,40,0.0102508003225208
e2b_restricted,log_nikkei,0,-0.0209670152952694
e2b_restricted,log_nikkei,1,-0.0233579797610355
e2b_restricted,log_nikkei,3,-0.0206474214137733
e2b_restricted,log_nikkei,6,-0.0143895747359438
e2b_restricted,log_nikkei,12,-0.0049295086571735
e2b_restricted,log_nikkei,24,0.0073209466107267
e2b_restricted,log_nikkei,40,0.0139584539969341
e2b_restricted,debtsec_pct,0,-0.0984833603944271
e2b_restricted,debtsec_pct,1,-0.1547293354474923
e2b_restricted,debtsec_pct,3,0.0547647127732882
e2b_restricted,debtsec_pct,6,0.0074892302036674
e2b_restricted,debtsec_pct,12,-0.0040931205880593
e2b_restricted,debtsec_pct,24,-0.0006113475577679
e2b_restricted,debtsec_pct,40,0.0033051153437612
e2b_restricted,equity_pct,0,-0.1642921390386352
e2b_restricted,equity_pct,1,-0.0265327404755014
e2b_restricted,equity_pct,3,-0.0434756538923323
e2b_restricted,equity_pct,6,0.0083048530808624
e2b_restricted,equity_pct,12,-0.0003398655094534
e2b_restricted,equity_pct,24,-0.008375921048047
e2b_restricted,equity_pct,40,-0.0108542773225947
e2b_restricted,other_pct,0,0.161737859890058
e2b_restricted,other_pct,1,0.0092942354054895
e2b_restricted,other_pct,3,-0.2241951783136353
e2b_restricted,other_pct,6,-0.0957207727164409
e2b_restricted,other_pct,12,-0.0664347397784588
e2b_restricted,other_pct,24,-0.0551411765019856
e2b_restricted,other_pct,40,-0.0457508085986343
e2b_restricted,direct_pct,0,0.0096272549279254
e2b_restricted,direct_pct,1,-0.017137820292787
e2b_restricted,direct_pct,3,0.0419024911148647
e2b_restricted,direct_pct,6,0.0028220837134029
e2b_restricted,direct_pct,12,0.0027599626593699
e2b_restricted,direct_pct,24,0.0057360193364359
e2b_restricted,direct_pct,40,0.0066570640693087
e2b_unrestricted,log_rgdp,0,-4.060565233802327e-05
e2b_unrestricted,log_rgdp,1,-0.0014769331553364
e2b_unrestricted,log_rgdp,3,-0.0036655483877227
e2b_unrestricted,log_rgdp,6,-0.002286844524719
e2b_unrestricted,log_rgdp,12,-0.0019957740383438
e2b_unrestricted,log_rgdp,24,-0.0010113477435008
e2b_unrestricted,log_rgdp,40,-0.0003898082608855
e2b_unrestricted,log_wui,0,0.0081083315107492
e2b_unrestricted,log_wui,1,0.0145088479502965
e2b_unrestricted,log_wui,3,0.0402450725842114
e2b_unrestricted,log_wui,6,0.0543398453910694
e2b_unrestricted,log_wui,12,-0.003554912489325
e2b_unrestricted,log_wui,24,-0.0004638728582626
e2b_unrestricted,log_wui,40,0.0016953903247135
e2b_unrestricted,log_reer,0,0.0059591146569488
e2b_unrestricted,log_reer,1,0.0111768037286081
e2b_unrestricted,log_reer,3,0.0124964774778376
e2b_unrestricted,log_reer,6,0.0094733789573484
e2b_unrestricted,log_reer,12,0.0055844533704196
e2b_unrestricted,log_reer,24,0.0020280633779888
e2b_unrestricted,log_reer,40,0.0006658039844839
e2b_unrestricted,spread,0,0.0265114317466107
e2b_unrestricted,spread,1,0.0735925570100041
e2b_unrestricted,spread,3,0.1057093985412812
e2b_unrestricted,spread,6,0.0792697768857185
e2b_unrestricted,spread,12,0.0543173020088458
e2b_unrestricted,spread,24,0.0230738407428487
e2b_unrestricted,spread,40,0.0078325448018441
e2b_unrestricted,log_nikkei,0,-0.023431720537219
e2b_unrestricted,log_nikkei,1,-0.0265424701245274
e2b_unrestricted,log_nikkei,3,-0.0250346999784645
e2b_unrestricted,log_nikkei,6,-0.0210782153631858
e2b_unrestricted,log_nikkei,12,-0.0141910257638679
e2b_unrestricted,log_nikkei,24,-0.0061392120692963
e2b_unrestricted,log_nikkei,40,-0.002104214705459
e2b_unrestricted,debtsec_pct,0,-0.11006023250477
e2b_unrestricted,debtsec_pct,1,-0.1459835810519401
e2b_unrestricted,debtsec_pct,3,0.0744468095220504
